,day,location,total_trajectories,vehicles_filtered,bikes_filtered,persons_filtered
0,2024-09-01 00:00:01-05:00,1,16875,13027,90,691
1,2024-09-01 00:00:01-05:00,2,24470,11547,118,879
2,2024-09-01 00:00:01-05:00,3,38097,12593,120,478
3,2024-09-01 00:00:01-05:00,4,13788,9748,91,194
4,2024-09-01 00:00:01-05:00,5,34598,10785,120,514
5,2024-09-01 00:00:01-05:00,6,38653,17273,239,2040
6,2024-09-01 00:00:01-05:00,7,11494,8070,65,419
7,2024-09-01 00:00:01-05:00,8,16953,10248,64,620
8,2024-09-02 00:00:01-05:00,1,17410,12172,107,691
9,2024-09-02 00:00:01-05:00,2,29175,9966,117,835
10,2024-09-02 00:00:01-05:00,3,32784,10577,105,434
11,2024-09-02 00:00:01-05:00,4,16106,8650,92,145
12,2024-09-02 00:00:01-05:00,5,27990,10004,175,410
13,2024-09-02 00:00:01-05:00,6,38954,14028,281,1984
14,2024-09-02 00:00:01-05:00,7,12623,7133,99,560
15,2024-09-02 00:00:01-05:00,8,14797,8329,104,198
16,2024-09-03 00:00:01-05:00,1,25501,19618,108,1045
17,2024-09-03 00:00:01-05:00,2,36309,16078,87,908
18,2024-09-03 00:00:01-05:00,3,37958,17295,103,386
19,2024-09-03 00:00:01-05:00,4,16306,7739,40,213
20,2024-09-03 00:00:01-05:00,5,21264,7445,52,205
21,2024-09-03 00:00:01-05:00,6,53662,19873,249,1991
22,2024-09-03 00:00:01-05:00,7,12179,9405,106,469
23,2024-09-03 00:00:01-05:00,8,13931,9619,105,367
24,2024-09-04 00:00:01-05:00,1,26734,19363,111,951
25,2024-09-04 00:00:01-05:00,2,35305,15450,81,862
26,2024-09-04 00:00:01-05:00,3,36302,16975,72,451
27,2024-09-04 00:00:01-05:00,4,18276,9275,62,251
28,2024-09-04 00:00:01-05:00,5,40184,14125,161,548
29,2024-09-04 00:00:01-05:00,6,28223,11217,188,940
30,2024-09-04 00:00:01-05:00,7,11711,9382,101,617
31,2024-09-04 00:00:01-05:00,8,15794,9983,87,342
32,2024-09-05 00:00:01-05:00,1,26294,19633,120,925
33,2024-09-05 00:00:01-05:00,2,30127,13195,111,679
34,2024-09-05 00:00:01-05:00,3,35993,16653,91,375
35,2024-09-05 00:00:01-05:00,4,16623,8119,57,225
36,2024-09-05 00:00:01-05:00,5,40400,15940,173,657
37,2024-09-05 00:00:01-05:00,6,49999,20309,232,1983
38,2024-09-05 00:00:01-05:00,7,13673,9839,66,559
39,2024-09-05 00:00:01-05:00,8,17820,11625,108,418
40,2024-09-06 00:00:01-05:00,1,30159,20175,183,987
41,2024-09-06 00:00:01-05:00,2,28168,13245,149,652
42,2024-09-06 00:00:01-05:00,3,34080,14805,127,330
43,2024-09-06 00:00:01-05:00,4,14863,6763,45,191
44,2024-09-06 00:00:01-05:00,5,19690,6307,51,270
45,2024-09-06 00:00:01-05:00,6,41787,17611,250,1809
46,2024-09-06 00:00:01-05:00,7,14493,10375,111,602
47,2024-09-06 00:00:01-05:00,8,27871,12464,132,385
48,2024-09-07 00:00:01-05:00,1,25907,16511,249,889
49,2024-09-07 00:00:01-05:00,2,35013,13867,253,772
50,2024-09-07 00:00:01-05:00,3,40265,14996,196,394
51,2024-09-07 00:00:01-05:00,4,15192,8027,106,178
52,2024-09-07 00:00:01-05:00,5,20979,5942,83,280
53,2024-09-07 00:00:01-05:00,6,43263,18336,298,2232
54,2024-09-07 00:00:01-05:00,7,13549,9769,118,678
55,2024-09-07 00:00:01-05:00,8,15753,11085,137,349
56,2024-09-08 00:00:01-05:00,1,21134,14670,167,653
57,2024-09-08 00:00:01-05:00,2,35771,11472,189,764
58,2024-09-08 00:00:01-05:00,3,37317,13248,148,354
59,2024-09-08 00:00:01-05:00,4,17034,10250,133,157
60,2024-09-08 00:00:01-05:00,5,21077,5449,89,236
61,2024-09-08 00:00:01-05:00,6,35927,16563,429,2126
62,2024-09-08 00:00:01-05:00,7,11065,7790,131,345
63,2024-09-08 00:00:01-05:00,8,12108,9258,127,309
64,2024-09-09 00:00:01-05:00,1,26971,18431,128,803
65,2024-09-09 00:00:01-05:00,2,27522,12112,89,669
66,2024-09-09 00:00:01-05:00,3,39773,14374,71,307
67,2024-09-09 00:00:01-05:00,4,15615,6920,40,225
68,2024-09-09 00:00:01-05:00,5,21165,5994,59,226
69,2024-09-09 00:00:01-05:00,6,42440,19233,253,1909
70,2024-09-09 00:00:01-05:00,7,10204,8710,103,466
71,2024-09-09 00:00:01-05:00,8,17608,10190,113,494
72,2024-09-10 00:00:01-05:00,1,26632,18808,114,880
73,2024-09-10 00:00:01-05:00,2,33942,13849,97,695
74,2024-09-10 00:00:01-05:00,3,42384,15020,75,339
75,2024-09-10 00:00:01-05:00,4,14533,8030,46,261
76,2024-09-10 00:00:01-05:00,5,30862,9551,98,385
77,2024-09-10 00:00:01-05:00,6,37909,16249,232,1783
78,2024-09-10 00:00:01-05:00,7,13108,8945,80,533
79,2024-09-10 00:00:01-05:00,8,17935,10759,81,432
80,2024-09-11 00:00:01-05:00,1,28022,19203,80,923
81,2024-09-11 00:00:01-05:00,2,34119,12588,73,821
82,2024-09-11 00:00:01-05:00,3,38818,14235,75,476
83,2024-09-11 00:00:01-05:00,4,13298,6292,34,266
84,2024-09-11 00:00:01-05:00,5,25205,6661,42,285
85,2024-09-11 00:00:01-05:00,6,44322,18554,251,2203
86,2024-09-11 00:00:01-05:00,7,11978,9252,75,516
87,2024-09-11 00:00:01-05:00,8,16410,11156,91,379
88,2024-09-12 00:00:01-05:00,1,28105,18200,87,925
89,2024-09-12 00:00:01-05:00,2,30600,11340,78,717
90,2024-09-12 00:00:01-05:00,3,44187,14480,53,428
91,2024-09-12 00:00:01-05:00,4,13619,6688,27,245
92,2024-09-12 00:00:01-05:00,5,20254,7077,48,245
93,2024-09-12 00:00:01-05:00,6,41146,16118,286,1591
94,2024-09-12 00:00:01-05:00,7,12435,9118,67,510
95,2024-09-12 00:00:01-05:00,8,17104,10968,66,402
96,2024-09-13 00:00:01-05:00,1,25921,18794,67,943
97,2024-09-13 00:00:01-05:00,2,33456,11840,64,637
98,2024-09-13 00:00:01-05:00,3,44519,17583,59,373
99,2024-09-13 00:00:01-05:00,4,16061,9258,29,208
100,2024-09-13 00:00:01-05:00,5,20712,7531,37,214
101,2024-09-13 00:00:01-05:00,6,45238,19045,201,1595
102,2024-09-13 00:00:01-05:00,7,14461,10067,66,815
103,2024-09-13 00:00:01-05:00,8,17164,12407,70,361
104,2024-09-14 00:00:01-05:00,1,16889,14358,52,627
105,2024-09-14 00:00:01-05:00,2,35898,12677,79,923
106,2024-09-14 00:00:01-05:00,3,33388,13849,66,403
107,2024-09-14 00:00:01-05:00,4,17381,10670,45,209
108,2024-09-14 00:00:01-05:00,5,25373,7826,70,386
109,2024-09-14 00:00:01-05:00,6,45856,17604,179,2130
110,2024-09-14 00:00:01-05:00,7,13996,8710,64,678
111,2024-09-14 00:00:01-05:00,8,13652,11118,59,272
112,2024-09-15 00:00:01-05:00,1,16499,13324,150,609
113,2024-09-15 00:00:01-05:00,2,36645,11744,170,795
114,2024-09-15 00:00:01-05:00,3,29834,12790,97,319
115,2024-09-15 00:00:01-05:00,4,18095,9284,84,134
116,2024-09-15 00:00:01-05:00,5,19142,5786,52,270
117,2024-09-15 00:00:01-05:00,6,40536,15917,273,1985
118,2024-09-15 00:00:01-05:00,7,9128,7551,95,377
119,2024-09-15 00:00:01-05:00,8,15073,10029,143,280
120,2024-09-16 00:00:01-05:00,1,24649,18186,110,848
121,2024-09-16 00:00:01-05:00,2,29666,12084,95,637
122,2024-09-16 00:00:01-05:00,3,40521,15338,97,344
123,2024-09-16 00:00:01-05:00,4,16003,7476,38,239
124,2024-09-16 00:00:01-05:00,5,20770,6644,56,287
125,2024-09-16 00:00:01-05:00,6,38554,18082,207,1883
126,2024-09-16 00:00:01-05:00,7,11151,8646,65,439
127,2024-09-16 00:00:01-05:00,8,20121,10409,100,413
128,2024-09-17 00:00:01-05:00,1,28582,18968,120,995
129,2024-09-17 00:00:01-05:00,2,30426,12294,106,691
130,2024-09-17 00:00:01-05:00,3,43342,16705,93,407
131,2024-09-17 00:00:01-05:00,4,16935,7914,46,410
132,2024-09-17 00:00:01-05:00,5,22646,7368,69,334
133,2024-09-17 00:00:01-05:00,6,40254,17565,228,1741
134,2024-09-17 00:00:01-05:00,7,11012,9311,69,494
135,2024-09-17 00:00:01-05:00,8,18651,10765,88,395
136,2024-09-18 00:00:01-05:00,1,25535,18886,127,879
137,2024-09-18 00:00:01-05:00,2,33766,14552,157,797
138,2024-09-18 00:00:01-05:00,3,40962,17105,89,357
139,2024-09-18 00:00:01-05:00,4,15949,9103,71,222
140,2024-09-18 00:00:01-05:00,5,22790,8409,74,278
141,2024-09-18 00:00:01-05:00,6,37692,14992,191,1626
142,2024-09-18 00:00:01-05:00,7,10736,9024,106,437
143,2024-09-18 00:00:01-05:00,8,17655,10754,122,486
144,2024-09-19 00:00:01-05:00,1,28182,19765,144,982
145,2024-09-19 00:00:01-05:00,2,40776,17070,143,881
146,2024-09-19 00:00:01-05:00,3,38239,17653,89,359
