metric_id,simulation_run_id,timestamp,metric_name,metric_value
M001,RUN001,2024-03-15 07:00:00,avg_speed_mph,45.2
M002,RUN001,2024-03-15 07:30:00,avg_speed_mph,38.5
M003,RUN001,2024-03-15 08:00:00,avg_speed_mph,32.1
M004,RUN002,2024-03-15 07:00:00,avg_speed_mph,46.8
M005,RUN002,2024-03-15 07:30:00,avg_speed_mph,42.3
M006,RUN002,2024-03-15 08:00:00,avg_speed_mph,38.9
M007,RUN001,2024-03-15 07:00:00,vehicle_count,1200
M008,RUN001,2024-03-15 08:00:00,vehicle_count,1850
M009,RUN002,2024-03-15 07:00:00,vehicle_count,1180
M010,RUN002,2024-03-15 08:00:00,vehicle_count,1720
M011,RUN001,2024-03-15 07:00:00,vmt,15000
M012,RUN002,2024-03-15 07:00:00,vmt,14200
M013,RUN003,2024-03-15 08:00:00,avg_speed_mph,41.5
M014,RUN003,2024-03-15 08:00:00,vehicle_count,1650
M015,RUN004,2024-03-15 09:00:00,transit_ridership,320
M016,RUN001,2024-03-15 17:00:00,avg_speed_mph,35.8
M017,RUN001,2024-03-15 18:00:00,avg_speed_mph,42.5
M018,RUN002,2024-03-15 17:00:00,avg_speed_mph,40.2
M019,RUN002,2024-03-15 18:00:00,avg_speed_mph,45.8
M020,RUN005,2024-03-15 10:00:00,avg_speed_mph,48.5
M021,RUN005,2024-03-15 10:30:00,avg_speed_mph,47.2
M022,RUN005,2024-03-15 10:00:00,vehicle_count,1150
